"","species","mean_wal_score"
"534","Astragalus_sinicus",0.227882536382537
"535","Astragalus_spatulatus",0.0266568265682657
"536","Astragalus_stenoceras",0.126620689655172
"537","Astragalus_stevenianus",0.263272727272727
"538","Astragalus_subumbellatus",0.437066666666667
"539","Astragalus_sulcatus",0.0592228796844182
"540","Astragalus_tenellus",0.0259557046979866
"541","Astragalus_tener",0.043
"542","Astragalus_tibetanus",0.300791666666667
"543","Astragalus_tribuloides",0.138481735159817
"544","Astragalus_trichopodus",0.0569897260273972
"545","Astragalus_uliginosus",0.039889748549323
"546","Astragalus_umbellatus",0.0167403598971722
"547","Astragalus_utahensis",0.0268327645051195
"548","Astragalus_vaginatus",0.0505945945945946
"549","Astragalus_vexilliflexus",0.0486146788990826
"550","Astragalus_whitneyi",0.0353004231311707
"551","Astragalus_wootonii",0.0582299107142857
"552","Astragalus_zingeri",0.0671578947368421
"553","Ateleia_glazioveana",0.101548387096774
"554","Ateleia_gummifera",0.159835164835165
"555","Baikiaea_insignis",0.128865030674847
"556","Baikiaea_plurijuga",0.178203488372093
"557","Balsamocarpon_brevifolium",0.092468085106383
"558","Baphia_laurifolia",0.0965580110497237
"559","Baphia_massaiensis",0.149744927536232
"560","Baphia_maxima",0.09045
"561","Baphia_pubescens",0.0811353711790393
"562","Baphiopsis_parviflora",0.151176991150442
"563","Baptisia_alba",0.0303849878934625
"564","Baptisia_australis",0.0276638354939651
"565","Baptisia_bracteata",0.0265508274231678
"566","Baptisia_perfoliata",0.0695190839694656
"567","Baptisia_tinctoria",0.0347877697841726
"568","Barbieria_pinnata",0.297520547945205
"569","Batesia_floribunda",0.245188888888889
"570","Bauhinia_acreana",0.200855769230769
"571","Bauhinia_acuminata",0.628922794117647
"572","Bauhinia_acuruana",0.0839859649122807
"573","Bauhinia_bauhinioides",0.09048
"574","Bauhinia_brachycarpa",0.611218068535825
"575","Bauhinia_brevipes",0.0874387755102041
"576","Bauhinia_conwayi",0.1529
"577","Bauhinia_divaricata",0.150483297413793
"578","Bauhinia_forficata",0.0981271102284013
"579","Bauhinia_galpinii",0.10845197740113
"580","Bauhinia_glauca",NA
"581","Bauhinia_longicuspis",0.248034351145038
"582","Bauhinia_longifolia",0.116242352941176
"583","Bauhinia_monandra",0.190866279069767
"584","Bauhinia_pauletia",0.279278969957082
"585","Bauhinia_pentandra",0.0881855072463768
"586","Bauhinia_petersiana",0.237282485875706
"587","Bauhinia_picta",0.796082125603865
"588","Bauhinia_pottsii",0.453477272727273
"589","Bauhinia_pulchella",0.0923426395939086
"590","Bauhinia_purpurea",0.477997050147493
"591","Bauhinia_racemosa",0.66762037037037
"592","Bauhinia_rufa",0.104172529313233
"593","Bauhinia_rufescens",0.100058823529412
"594","Bauhinia_tomentosa",0.300231833910034
"595","Bauhinia_ungulata",0.145869739478958
"596","Bauhinia_variegata",0.357664615384615
"597","Berlinia_bracteosa",0.0887114427860697
"598","Berlinia_craibiana",0.140769230769231
"599","Berlinia_grandiflora",0.0676446153846152
"600","Bituminaria_bituminosa",0.133289341575739
"601","Bobgunnia_madagascariensis",0.114920720720721
"602","Bolusanthus_speciosus",0.102155440414508
"603","Bossiaea_aquifolium",0.053
